id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
learn/best-practices	https://developers.openai.com/codex/learn/best-practices	knowledge/primary/CODX/pages/learn/best-practices/index.html	knowledge/primary/CODX/pages/learn/best-practices/response-headers.txt	182a7ef8c1698ac4e5647ccdb0f3d513bb86f514c0717644d25c203f82a242e4	597745cc9ac4237d86a659c087c49775d37703c14ecf0533e338e930da145f62	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:28 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
mcp	https://developers.openai.com/codex/mcp	knowledge/primary/CODX/pages/mcp/index.html	knowledge/primary/CODX/pages/mcp/response-headers.txt	c98ce9075b5105ddfdaaf8336ffddbc1caadce845985bcfe0e302674c851f3ee	11f2ac6f95d4a8aeca64ee81b565431adb1520aae5b2e5c429f6c10e5945db8b	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:56:40 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
memories	https://developers.openai.com/codex/memories	knowledge/primary/CODX/pages/memories/index.html	knowledge/primary/CODX/pages/memories/response-headers.txt	222de2410b38d6577b9dad2bbb662855170e8223f980407f0af69bdb14c638f2	f479e42e084c6dc6627712f532e03a0729ef73acd9d9fe289de2dbd047c134f6	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:08 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
memories/chronicle	https://developers.openai.com/codex/memories/chronicle	knowledge/primary/CODX/pages/memories/chronicle/index.html	knowledge/primary/CODX/pages/memories/chronicle/response-headers.txt	efa22cba7c0b32d87e3bed6d7f26878e5ed4172e23548b8ef00dac06c64a5792	b8a778ec254601b85914daba885d1dcd139ad31753db07257694becf45f331e4	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 10:00:10 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
migrate	https://developers.openai.com/codex/migrate	knowledge/primary/CODX/pages/migrate/index.html	knowledge/primary/CODX/pages/migrate/response-headers.txt	d3789d582bde46fb47f596d41ac9bdcf4c120381422843f831738e2ebe9ea830	d6bd20d90136378b16d7d8c964afd63c5e6ada2e6a1d2a613a86f0a5b6adae3b	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:59:51 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
models	https://developers.openai.com/codex/models	knowledge/primary/CODX/pages/models/index.html	knowledge/primary/CODX/pages/models/response-headers.txt	09dc450e06e02bf2d8839369744e84240990860c18d3cdcf2f50e03350a53d54	1bbe986c1bdc6b963d1d9bac13f0952d56df637f0648a713014d93e588f592b6	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:36 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
noninteractive	https://developers.openai.com/codex/noninteractive	knowledge/primary/CODX/pages/noninteractive/index.html	knowledge/primary/CODX/pages/noninteractive/response-headers.txt	9b8a8835d6d52229f5a903117823cbd89dd7335b2dd2f87650d1eba2f5e2ebb5	65502b6d95cc5d6cbdf9da47879145e7d1264a1d2baf565df29958fd7327d8ad	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:43 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
permissions	https://developers.openai.com/codex/permissions	knowledge/primary/CODX/pages/permissions/index.html	knowledge/primary/CODX/pages/permissions/response-headers.txt	8d7fd08037c370661c147b619279a0ab46b2bacb9e89ec69919cd57da274a8c4	3c856590be8f31a09e9fc72d7f57998e449e17dc259859a904cdc2f2f4473d9f	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:41 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
plugins	https://developers.openai.com/codex/plugins	knowledge/primary/CODX/pages/plugins/index.html	knowledge/primary/CODX/pages/plugins/response-headers.txt	ff744d8a98b2bcddf5a79a3b60a6867285437d341eb5df2dc2e5a446db5a658e	5b058bea1c9f467991608025c31cc50eb4ed44bcec16688b91f9f60809083391	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:57:03 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
plugins/build	https://developers.openai.com/codex/plugins/build	knowledge/primary/CODX/pages/plugins/build/index.html	knowledge/primary/CODX/pages/plugins/build/response-headers.txt	7f268376fac191d6b72b78d7e0df90c6226ca8c1c63bf841349470ccb0f91bd3	b413cbe700283b00834bac0abaa1a1372ac4294722a96700e7d3a7893451c87e	2026-06-05T09:59:47Z	200	Fri, 05 Jun 2026 09:58:20 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
