section	file	local_file	sha256	bytes	title
06-Раздел V. SDK и UI-библиотеки	05-sdk-mv-frameworks.md	05-sdk-mv-frameworks.local.md	a62f61759371973c264367a88070d2c061035fa43c3d9f9f7f12b8b73631c879	16667	MV*-фреймворки
06-Раздел V. SDK и UI-библиотеки	06-sdk-backend-driven.md	06-sdk-backend-driven.local.md	85563fb0283568b41d85ab53bb3e8349b7f467ab7cc74decf945043055571fc5	8362	Backend-Driven UI
06-Раздел V. SDK и UI-библиотеки	07-sdk-shared-resources.md	07-sdk-shared-resources.local.md	66d813d61eb5b3099cf2763f38826ba25db96b428e26915e6202d665f5eaf477	11175	Разделяемые ресурсы и асинхронные блокировки
06-Раздел V. SDK и UI-библиотеки	08-sdk-computed-properties.md	08-sdk-computed-properties.local.md	b218b9b69b19d9276b397bbdf93d8b7e81ae08ef8676bd981912ff6db2ddf6e7	7305	Вычисляемые свойства
06-Раздел V. SDK и UI-библиотеки	09-sdk-conclusion.md	09-sdk-conclusion.local.md	a5814916f3d060accda640a90cce7d3ee9d2a365100622e5e2685c22d5ec1117	971	Заключение
07-Раздел VI. API как продукт	01-api-product.md	01-api-product.local.md	d40d2472a8412b43904adfe9a27180c8971f3450289038f088f358670dd9ca7c	8196	Продукт API
07-Раздел VI. API как продукт	02-api-product-business-models.md	02-api-product-business-models.local.md	0ad213050dd74f106cc81df7cc3318e69ea0123bd9530ec6bb7ed2024a09d7c2	30718	Бизнес-модели API
07-Раздел VI. API как продукт	03-api-product-vision.md	03-api-product-vision.local.md	96b668823dc10590302b476ce9f3ff938f9b1b3df570e5257473b06445695020	12045	Формирование продуктового видения
07-Раздел VI. API как продукт	04-api-product-devrel.md	04-api-product-devrel.local.md	01e536eda4db900b82a3afc0d53d531842e5f029c2ce5c991343aa10909be269	14953	Взаимодействие с разработчиками
07-Раздел VI. API как продукт	05-api-product-business-comms.md	05-api-product-business-comms.local.md	8134c3de5456827272d602803b2d977ef500cb50e303bccac2726a31feb6bd6d	3162	Взаимодействие с бизнес-аудиторией
07-Раздел VI. API как продукт	06-api-product-lineup.md	06-api-product-lineup.local.md	68dd447f82e73f68ed02cd1afb26ba41b5d6d4f6245880e2a8fb251860941bca	14585	Линейка сервисов API
07-Раздел VI. API как продукт	07-api-product-kpi.md	07-api-product-kpi.local.md	76f14ac4d3f75eec238ae28fed98a87b03246247500f7847b58a501fab734c22	16998	Ключевые показатели эффективности API
07-Раздел VI. API как продукт	08-api-product-antifraud.md	08-api-product-antifraud.local.md	fec1ebaf0db8e6b7eff42010721a46b58e4b8687269c87b6f87f2706c60d5875	20198	Идентификация пользователей и борьба с фродом
07-Раздел VI. API как продукт	09-api-product-tos-violations.md	09-api-product-tos-violations.local.md	42bfc96e50241d57fe8955754744f276f515d78bccd4328371021439a8693b3b	17779	Технические способы борьбы с несанкционированным доступом к API
07-Раздел VI. API как продукт	10-api-product-customer-support.md	10-api-product-customer-support.local.md	92c2ced22772edcbb8c20b5f6928fcd03a8b4d4c518802ae7aa4b1f7a8c5ad78	10980	Поддержка пользователей API
07-Раздел VI. API как продукт	11-api-product-documentation.md	11-api-product-documentation.local.md	3db8a703958f7338566d3e303dd11056ab36ee96505c28912c3204393f3699a5	23446	Документация
07-Раздел VI. API как продукт	12-api-product-testing.md	12-api-product-testing.local.md	aed2122f3961ddf33ccdd210130cb1d8f9174039b435bf6ab097db6dc23ea2b2	9898	Тестовая среда
07-Раздел VI. API как продукт	13-api-product-expectations.md	13-api-product-expectations.local.md	9b41a585736f7c2c4717c77d28375d50df0342f3c52091fd3dbae089194469f5	9289	Управление ожиданиями
